Teks;Kelas
Balai Diklat Industri (BDI) Denpasar kembali membuka pendaftaran untuk 2 (dua) batch Diklat 3 in 1 yaitu Pembuatan Gerak Animasi 3 Dimensi Angkatan   II On Site (Mocca) pada tanggal 1 – 25 November 2021 serta Junior Web Programmer Angkatan III (Tiga Serangkai) pada tanggal 2 – 23 November 2021 Bagi yang berminat, langsung daftar di link pendaftarannya:  ;Pengumuman
Penjajakan Kerjasama ke Asosiasi Internet of Things Indonesia (ASIOTI) Beberapa waktu lalu, Balai Diklat Industri (BDI) Denpasar telah melakukan penjajakan kerjasama ke Asosiasi Internet of Things Indonesia (Asioti) di Jakarta Dalam kunjungan ke Asioti, BDI Denpasar yang diwakili oleh Bapak I Made Artana dan tim disambut oleh Ketua Umum Asioti Bapak Teguh Prasetya, Sekretaris Jenderal Asioti Ibu Fita Indah Maulani, serta Kepala Bidang Perangkat dan Sensor Asioti Bapak Guruh Ariyanto Pada pertemuan tersebut, dibahas beberapa hal terkait skema kerjasama yang dapat dilakukan antara BDI Denpasar dengan Asioti serta perkembangan industri Internet of Things (IoT) di Indonesia saat ini;Diklat 3 in 1
Pada diklat ToT Sosial Media Marketing ini, para instruktur yang dimiliki oleh BDI Denpasar mendapatkan pendalaman materi bagaimana melakukan marketing dengan menggunakan platform sosial media Beberapa materi yang diajarkan pada diklat ini antara lain: pengenalan sosial media marketing, digital branding sosial media marketing, serta bagaimana cara membuat caption dan membuat perencanaan konten Selain itu, para instruktur juga diajarkan bagaimana cara untuk me monetisasi akun dan melakukan analisa pemasangan iklan pada sosial media para instruktur dapat meningkatkan kemampuannya dalam bidang Sosial Media Marketing dan dapat diteruskan kembali ilmu yang telah didapat kepada para peserta diklat diklat BDI Denpasar nantinya;Diklat 3 in 1
Temu Industri Tahun 2021 dalam penyelenggaraan pendidikan dan pelatihan 3 in 1 di Balai Diklat Industri (BDI) Denpasar baik dalam bidang animasi, teknologi informasi, digital content, maupun sosial media marketing tentunya tidak luput dari kerjasama yang baik dari berbagai pihak, terutama dari para mitra industri Untuk lebih meningkatkan kualitas penyelenggaraan diklat ke depannya, serta untuk mengantisipasi permasalahan dan kendala kendala yang masih dihadapi pada diklat diklat sebelumnya, BDI Denpasar pada tanggal 25 sd 27 Oktober 2021 yang lalu menyelenggarakan Temu Industri yang dihadiri oleh 20 (dua puluh) mitra industri yang telah bekerjasama dengan BDI Denpasar Harapannya dengan adanya pertemuan ini dapat memperlancar pelaksanaan kegiatan diklat 3 in 1 pada tahun mendatang, serta dapat meningkatkan koordinasi yang baik dengan para mitra industri;Diklat 3 in 1
Diklat Pembuatan Latar Animasi 2 Dimensi Angkatan IV On Site (Castle Production)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan PT Kastil Avindo (Castle Production Studio Jakarta) kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 11 (Sebelas) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 14 hingga 24 Februari 2022 bertempat di Gedung CMC (Cyber Media Center) Kelapa Gading, Jakarta Utara Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 2 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di :  ;Diklat 3 in 1
Employee Of The Month BDI Denpasar Oktober 2021 Dalam rangka mengikuti perkembangan teknologi dan agar tidak ketinggalan zaman, setiap organisasi diharapkan dapat beradaptasi dengan perubahan perubahan yang ada dengan cepat Balai Diklat Industri (BDI) Denpasar telah menyelenggarakan Employee Innovation Challenge 2021 yang diperuntukkan untuk menggali inovasi inovasi serta ide ide yang fresh dari para pegawainya dan telah mendapatkan 3 (tiga) juara untuk challenge tersebut Selamat kepada para juara Employee Innovation Challenge 2021 Semoga dapat menjadi pemacu semangat untuk terus menciptakan inovasi inovasi serta ide ide baru demi kemajuan BDI Denpasar ke depannya;Diklat 3 in 1
SELAMAT BDI DENPASAR ATAS PERAIHAN PENGHARGAAN WBK Ada kabar gembira nih di penghujung tahun 2021! Atas kerja keras dan komitmen bersama dari semua pihak, Balai Diklat Industri (BDI) Denpasar berhasil mendapatkan penghargaan Wilayah Bebas dari Korupsi (WBK) dari Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Reformasi Birokrasi (KemenPAN RB) Selain menjadi kebanggaan untuk BDI Denpasar, apresiasi ini tentunya akan menjadi tambahan semangat bagi seluruh elemen di BDI Denpasar untuk dapat terus meningkatkan inovasi dan pelayanan yang prima bagi masyarakat Selamat BDI Denpasar! Making Change, Making History! Totalitas Tanpa Batas, Melayani dari Hati!;Diklat 3 in 1
Diklat Penyunting Film Animasi (Editor) Angkatan I On Site (Jitu Kreasi Utama Yogyakarta)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan PT Jitu Kreasi Utama, Kota Yogyakarta, kembali mengadakan Diklat secara 3 in 1 diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 30 (Tiga Puluh) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 4 Februari hingga 10 Maret 2022 bertempat di Youth Center Yogyakarta, Sleman, Provinsi Daerah Istimewa Yogyakarta Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia penyuntingan Film Animasi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Diklat 3 in 1
Diklat Pembuatan Gerak Animasi 3 Dimensi Angkatan I On Site (Castle Production)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan PT Kastil Avindo (Castle Production Studio Jakarta) kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 23 (dua puluh tiga) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 17 Januari hingga 11 Februari 2022 bertempat di Gedung CMC (Cyber Media Center) Kelapa Gading, Jakarta Utara Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 3 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Diklat 3 in 1
Rapat Tinjauan Manajemen BDI Denpasar Tahun 2021 Suatu organisasi dapat berjalan dengan baik untuk mencapai tujuannya apabila didukung oleh manajemen yang telah bekerja dengan tepat dan sesuai Manajemen merupakan bagian terpenting dalam suatu organisasi, yang bertugas dalam melakukan perencanaan, pengorganisasian, pelaksanaan dan pengawasan terhadap sumber daya yang dimiliki Kegiatan ini dihadiri oleh seluruh jajaran manajemen beserta pegawai BDI Denpasar Harapannya dengan adanya RTM ini, program kerja BDI Denpasar dapat berjalan sesuai yang diharapkan pada tahun tahun mendatang;Diklat 3 in 1
Diklat Pembuatan Aset Animasi 3 Dimensi Angkatan III (Inhouse Studio Bali)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan CV Inhouse Studio Bali kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 29 (Dua Puluh Sembilan) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 10 Februari hingga 18 Maret 2022 bertempat di Balai Diklat Industri Denpasar, Bali Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 3 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Diklat 3 in 1
Selamat Tahun Baru Imlek 2022 Selamat Tahun Baru Imlek Semoga tahun baru ini dipenuhi dengan kebahagiaan, kemakmuran dan keberuntungan bagi kita semua ;Diklat 3 in 1
Open Recruitment Diklat 3 in 1 (Yogyakarta, Malang) , sobat kreatifSiapa nih yang sudah menunggu pembukaan diklat 3 in 1 animasi di Yogyakarta dan Malang? Simak postingan ini ya Buat sobat kreatif yang tertarik untuk join, segera daftar di link yang sudah mimin cantumin Untuk detail syarat syarat pendaftaran dapat dilihat di masing masing diklat yang sobat minati ya Sampai jumpa di Yogyakarta dan Malang ya sobat kreatif  #Diklat3in1 #BDIDenpasar #BDIDenpasarGoesWBBM #ZonaIntegritas #ZI #BersihMelayani #Animasi;Diklat 3 in 1
Open Recruitment Diklat 3 in 1 (Yogyakarta, Cimahi, Jakarta) , sobat kreatif  Siapa nih yang sudah menunggu pembukaan diklat 3 in 1 animasi di Cimahi, Yogyakarta dan Jakarta? Simak postingan ini ya Buat sobat kreatif yang tertarik untuk join, segera daftar di link yang sudah mimin cantumin Untuk detail syarat syarat pendaftaran dapat dilihat di masing masing diklat yang sobat minati ya  Sampai jumpa di Cimahi, Yogyakarta dan Jakarta ya sobat kreatif;Diklat 3 in 1
Open Recruitment Diklat 3 in 1 (Semarang, Surakarta, Yogyakarta, Makassar) , sobat kreatif Siapa nih yang sudah menunggu pembukaan diklat 3 in 1 animasi di Semarang, Surakarta, Yogyakarta dan Makassar ? Simak postingan ini ya Informasi jadwal dan pendaftaran diklat langsung melalui website BDI Denpasar Sampai jumpa di Semarang, Surakarta, Yogyakarta dan Makassar ya sobat kreatif  #Diklat3in1 #BDIDenpasar #BDIDenpasarGoesWBBM #ZonaIntegritas #ZI #BersihMelayani #Animasi;Diklat 3 in 1
Diklat Pembuatan Gerak Animasi 3 Dimensi Angkatan III On Site (Spektrumedia Studio Makassar)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan PT Spektrumedia Animation Studio, Provinsi Sulawesi Selatan kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 23 (Dua Puluh Tiga) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 24 Januari hingga 18 Februari 2022 bertempat di Kampus FIKOM Universitas Muslim Indonesia (UMI), Kota Makassar, Sulawesi Selatan Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 3 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di   ;Diklat 3 in 1
Open Recruitment Diklat 3 in 1 , sobat kreatif Bagi yang sudah menunggu pembukaan diklat 3 in 1 animasi di Sleman, Malang, dan Jakarta? Simak postingan ini Buat sobat kreatif yang tertarik untuk join, segera daftar di link yang sudah mimin cantumin Untuk detail syarat syarat pendaftaran dapat dilihat di masing masing diklat yang sobat minati Sampai jumpa di Sleman, Malang dan Jakarta ya sobat kreatif;Diklat 3 in 1
Open Recruitment Diklat 3 in 1 Halo sobat kreatif Ada Kabar gembira nih, diklat tahun 2022 sudah open registrasi Buat kalian yang tertarik buat ikutan, segera daftar dilink :  ;Diklat 3 in 1
Diklat Pembuatan Gerak Animasi 3 Dimensi Angkatan VII On Site (MSV Studio Yogyakarta)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan MSV Studio Yogyakarta kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 22 (Dua Puluh Dua) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 7 hingga 31 Maret 2022 bertempat di Kampus Universitas AMIKOM Yogyakarta, Daerah Istimewa Yogyakarta Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 3 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 25 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di :  ;Diklat 3 in 1
Diklat Pembuatan Aset Animasi 3 Dimensi Angkatan I On Site (Spektrumedia Studio Makassar)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Spektrumedia Studio Makassar kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 29 (Dua Puluh Sembilan) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 19 Januari hingga 22 Februari 2022 bertempat di Universitas Muslim Indonesia (UMI) Makassar, Sulawesi Selatan Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 3 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Diklat 3 in 1
Penjajakan Kerjasama ke RANS Animation Studio – Semarang , sobat kreatif  Siapa nih sobat kreatif yang tidak kenal RANS dan si Aak? Tentunya tahu dong ya  hehe  Rans Animation Studio merupakan studio animasi yang didirikan oleh Rans Entertainment milik Raffi Ahmad pada bulan Maret tahun 2020 di Kota Semarang, Jawa Tengah Rans Animation Studio sebagai rumah produksi untuk film animasi milik Rans Entertainment, adapun hasil filmnya berjudul Si AA yang tayang di stasiun TV swasta Harapannya dengan adanya kunjungan ini, BDI Denpasar dan Rans Animation Studio dapat membuka peluang kerjasama kerjasama yang baik ke depannya;Diklat 3 in 1
Diklat Social Media Marketing Angkatan VII (Dinas Perindustrian dan Tenaga Kerja Kabupaten Klungkung) Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Dinas Perindustrian dan Tenaga Kerja Kabupaten Klungkung, Provinsi Bali kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 6 (Enam) hari pelatihan, mulai dari tanggal 29 November sampai dengan 4 Desember 2021 bertempat di Balai Diklat Industri Denpasar, Denpasar Timur, Bali Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia Sosial Media Marketing, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di :  ;Diklat 3 in 1
Selamat Tahun Baru 2022 Berbagai suka dan duka telah kita lalui dalam perjalanan di tahun 2021 Semua hal yang membentuk kita saat ini untuk selalu bersyukur dan menjadi lebih kuat Di tahun yang baru, segala doa dan harapan dipanjatkan dan segala hal yang baik semakin merapat Selamat #TahunBaru2022 Selalu jaga kesehatan dan tetap semangat dalam mengisi lembaran lembaran baru ya, Sobat kreatif ;Diklat 3 in 1
Open Recruitment Diklat 3 in 1 , sobat kreatif Kali ini Diklat 3 in 1 dibuka di Tegal, Yogyakarta dan Makassar Buat sobat kreatif yang tertarik untuk join, segera daftar di link yang tercantum Untuk detail syarat syarat pendaftaran dapat dilihat di masing masing diklat yang sobat minati;Diklat 3 in 1
Diklat Penyunting Film Animasi (Editor) Angkatan III On Site (Spektrumedia)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Spektrumedia Studio, Kota Makassar, kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 29 (Dua Puluh Sembilan) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 24 Februari hingga 31 Maret 2022 bertempat di Fakultas Ilmu Komputer (Fikom) Universitas Muslim Indonesia (UMI), Kota Makassar, Provinsi Sulawesi Selatan Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia Penyunting Film Animasi (Editor), yuks buruan daftar! GRATIS! Terbatas untuk 25 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di :  ;Diklat 3 in 1
Diklat Pembuatan Latar Animasi 2 Dimensi Angkatan II On Site (Funymation Studio Yogyakarta)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Funymation Studio, Provinsi Daerah Istimewa Yogyakarta kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 10 (Sepuluh) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 24 Januari hingga 4 Februari 2022 bertempat di Kampus STSRD VISI, Kota Yogyakarta, Daerah Istimewa Yogyakarta Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 2 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Diklat 3 in 1
Witness Pengajuan Skema Baru LSP BDI Denpasar oleh BNSP Lembaga Sertifikasi Profesi (LSP) BDI Denpasar telah melaksanakan witness uji kompetensi untuk pengajuan 6 (enam) skema sertifikasi: Desainer Grafis Muda Database Programmer Database Administrator Junior Web Programmer Junior Web Developer Junior Mobile Programmer Semoga BDI Denpasar dapat menyelenggarakan 6 (enam) paket baru tersebut pada Diklat 3 in 1 tahun 2022 mendatang;Diklat 3 in 1
5 Manfaat Mengikuti Diklat, Simak postingan ini untuk tahu lebih lanjut apa aja manfaat yang bisa sobat kreatif dapatkan ya!;Diklat 3 in 1
Diklat Designer Grafis Muda Angkatan I On Site (Baraka Creative Studio Sumatera Barat)   sobat kreatif semua Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Baraka Creative Studio Sumatera Barat kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 19 (Sembilan Belas) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 4 hingga 25 Februari 2022 bertempat di Universitas Negeri Padang (UNP) Kota Padang, Sumatera Barat Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia Desain Grafis, yuks buruan daftar! GRATIS! Terbatas untuk 24 pesertaDiklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Diklat 3 in 1
Diklat Pembuatan Aset Animasi 3 Dimensi Angkatan II On Site (Baraka Creative Studio Sumatera Barat)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Baraka Creative Studio Sumatera Barat kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 29 (Dua Puluh Sembilan) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 4 Februari hingga 10 Maret 2022 bertempat di Institut Seni Indonesia (ISI), Padang Panjang, Sumatera Barat Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 3 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Diklat 3 in 1
Diklat Pembuatan Gerak Animasi 2 Dimensi Angkatan I On Site (Mocca Animation Studio Malang)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan PT Mocca Multi Talenta, Provinsi Jawa Timur kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 38 (Tiga Puluh Delapan) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 14 Februari hingga 29 Maret 2022 bertempat di Gedung Mocca Animation Studio, Kota Malang, Jawa Timur Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 2 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di :  ;Diklat 3 in 1
Open Recruitment Diklat 3 in 1 , sobat kreatifDiklat 3 in 1 kembali dibuka untuk tahun depan Segera daftarkan diri di link yang tercantum dan untuk detail syarat syarat pendaftaran dapat dilihat di masing masing diklat yang Sobat Kreatif minati Sampai jumpa di diklat 3 in 1 tahun 2022 ;Diklat 3 in 1
Open Recruitment Diklat 3 in 1 (Padang, Cilacap, Bandung, Makassar) , sobat kreatif Siapa nih yang sudah menunggu pembukaan diklat 3 in 1 animasi di Padang, Cilacap, Bandung dan Makassar ? Simak postingan ini ya Informasi jadwal dan pendaftaran diklat langsung melalui website BDI Denpasar Sampai jumpa di Padang, Cilacap, Bandung dan Makassar ya sobat kreatif  #Diklat3in1 #BDIDenpasar #BDIDenpasarGoesWBBM #ZonaIntegritas #ZI #BersihMelayani #Animasi;Diklat 3 in 1
Diklat Pembuatan Gerak Animasi 3 Dimensi Angkatan IV On Site (Kampoong Monster Surakarta)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Kampoong Monster Surakarta, Provinsi Jawa Tengah kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 23 (Dua Puluh Tiga) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 4 Februari hingga 2 Maret 2022 bertempat di Kampus Akademi Seni dan Desain Indonesia (ASDI), Kota Surakarta, Jawa Tengah Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 3 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 24 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di : ;Diklat 3 in 1
Evaluasi Lapangan Zona Integritas Menuju WBK/WBBM di Lingkungan BDI Denpasar oleh KemenPAN RB Pada Senin (14/11) yang lalu, Balai Diklat Industri (BDI) Denpasar mendapatkan kesempatan untuk dikunjungi oleh Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi dalam rangka Evaluasi Lapangan Zona Integritas BDI Denpasar Menuju Wilayah Bebas dari Korupsi (WBK)/Wilayah Birokrasi Bersih dan Melayani (WBBM) Pada kesempatan tersebut, Ibu Kepala BDI Denpasar Zya Labiba memperkenalkan sarana dan prasarana pendukung kegiatan diklat di BDI Denpasar serta fasilitas Inkubasi Bisnis Tohpati Selain itu, tim dari KemenPANRB juga diajak untuk melihat capaian capaian yang telah diraih, serta pelayanan pelayanan yang dilakukan oleh BDI Denpasar untuk masyarakat BDI Denpasar akan terus berkomitmen untuk menciptakan Wilayah Zona Integritas di BDI Denpasar;Diklat 3 in 1
Diklat Pembuatan Gerak Animasi 2 Dimensi Angkatan II On Site (Kampoong Monster Surakarta)   sobat kreatif semua! Balai Diklat Industri (BDI) Denpasar bekerja sama dengan Kampoong Monster Surakarta, Provinsi Jawa Tengah kembali mengadakan Diklat secara 3 in 1 Diklat ini rencananya akan diselenggarakan secara offline (tatap muka) selama 38 (Tiga Puluh Delapan) hari pelatihan (sudah termasuk kegiatan Uji Kompetensi Diklat 3 in 1), mulai dari tanggal 24 Januari hingga 11 Maret 2022 bertempat di Politeknik Harapan Bersama, Kota Tegal, Jawa Tengah Diklat 3 in 1 ini GRATIS dan KUOTA TERBATAS ya Sob! Buat sobat sobat semua yang mempunyai passion di dunia animasi 3 Dimensi, yuks buruan daftar! GRATIS! Terbatas untuk 26 peserta Diklat 3 in 1 ini bersifat gratis namun dengan kuota peserta yang terbatas Jadi, ayo daftar segera di :  ;Diklat 3 in 1
Webinar Digital Tourism BDI Denpasar Business Incubator mengadakan Business Talk dengan tema Broaden Your Business Insight in Tourism Industry yang menghadirkan Narasumber yaitu “Putu Surya Sudarmadi” yang merupakan Founder sekaligus CEO dari Guestpro dan “Bagus Putu Wahyu Nirmala” Co – founder dari RoamIn Indonesia Dalam Kegiatan ini narasumber akan sharing knowledge dan inspirasi bagaimana proses memulai bisnis dan hal hal yang diperlukan dalam sebuah bisnis Diakhir kegiatan, peserta akan melakukan tanya jawab dengan pembicara pada kegiatan ini Workshop akan dilaksanakan pada : Hari dan Tanggal : Jumat, 11 Februari 2022 Pukul : 0900 – 1130 Wita Live on Zoom Meeting;Inbis Tohpati
Startup Bootcamp and Final Pitching Lets Rock Your Innovation! Startup & Business Competition: Tanggal : 28 – 30 April 2021, Jam: 0800 – selesai, Lokasi: Aula Gedung Animasi BDI Denpasar;Inbis Tohpati
Tohpati Talent Camp   Pengumuman Peserta Kelas Internet of Things Selamat kepada peserta terpilih Tohpati Talent Camp Kelas Internet Of Things Bagi yang belum lolos jangan berkecil hati ya;Inbis Tohpati
Webinar Digital Health BDI Denpasar Business Incubator mengadakan Business Talk dengan tema E plore Business Idea & Insight in Digital Health Industry yang menghadirkan Narasumber yaitu “Nova Ariyanto Jono” yang merupakan Co  Founder sekaligus CEO dari Psikologimu dan “Made Dwi Putra Wijaya” yang merupakan Koordinator dari BDI Denpasar Business Incubator Dalam Kegiatan ini narasumber akan sharing knowledge dan inspirasi bagaimana proses memulai bisnis dan hal – hal yang diperlukan dalam sebuah bisnis Diakhir kegiatan, peserta akan melakukan tanya jawab dengan pembicara pada kegiatan ini Workshop akan dilaksanakan pada : hari dan Tanggal : Jumat, 25 Februari 2022 Pukul : 1000 – 1130 Live on Zoom Meeting;Inbis Tohpati
Tohpati Talent Camp   Kelas Smartphone Videography  Saat ini, masyarakat lebih menyukai dan menikmati konten konten informasi secara visual, termasuk video Banyaknya platform platform hiburan dan informasi yang menyajikan konten konten video seperti tiktok, reels, youtube, maupun IGTV yang cukup digemari oleh masyarakat, membuat para content creator berlomba lomba untuk dapat membuat video yang menarik Balai Diklat Industri Denpasar melalui Inkubasi Bisnis Tohpati menyelenggarakan Tohpati Talent Camp kelas Smartphone Videography pada tanggal 16 21 Agustus 2021 yang lalu Kegiatan ini diikuti oleh sekitar 20 peserta  Pada kelas ini, para peserta diajarkan tentang dasar dasar sinematografi, mempelajari aplikasi video editing yang diperlukan, serta mengedit video dan audio menggunakan aplikasi Kinemaster pada smartphone Selain itu, para peserta juga diajak untuk membuat short video “Self Branding” menggunakan smartphone dan latar Green Screen serta bantuan perangkat perekam audio sederhana Kemudian peserta diajak juga untuk mengedit video menggunakan software OpenShot dan mempresentasikan produk video yang telah dibuat pada saat pelatihan;Inbis Tohpati
Suatu organisasi dapat berjalan dengan baik untuk mencapai tujuannya apabila didukung oleh manajemen yang telah bekerja dengan tepat dan sesuai Manajemen merupakan bagian terpenting dalam suatu organisasi, yang bertugas dalam melakukan perencanaan, pengorganisasian, pelaksanaan dan pengawasan terhadap sumber daya yang dimiliki Kegiatan ini dihadiri oleh seluruh jajaran manajemen beserta pegawai BDI Denpasar Harapannya dengan adanya RTM ini, program kerja BDI Denpasar dapat berjalan sesuai yang diharapkan pada tahun tahun mendatang;Inbis Tohpati
